CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,TUFE,A-UPP,MTS,MNR,DESPIERTA,CPEM-B,PATRIA-UNIDOS,NGP
1,Cercado,1,Trinidad,2526,Trinidad,1,U.E. Liceo Mario Saielly,8000182,1,18,19,9,22,29,5,77,
1,Cercado,1,Trinidad,2526,Trinidad,1,U.E. Liceo Mario Saielly,8000192,2,26,15,6,18,32,4,50,
1,Cercado,1,Trinidad,2526,Trinidad,1,U.E. Liceo Mario Saielly,8000202,3,20,7,17,19,31,1,62,
1,Cercado,1,Trinidad,2526,Trinidad,1,U.E. Liceo Mario Saielly,8000212,4,3,1,1,0,3,0,4,
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000222,1,13,12,2,24,40,0,78,
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000232,2,20,9,3,22,37,2,76,
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000242,3,21,9,9,27,32,3,65,
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000252,4,16,5,9,22,41,1,54,
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000262,5,15,8,8,28,29,1,81,
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000272,6,26,6,4,22,20,2,77,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000902,1,23,5,4,29,24,3,64,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000912,2,16,11,11,24,16,7,73,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000922,3,33,15,11,17,17,4,60,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000932,4,21,12,9,21,27,2,65,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000942,5,24,21,10,23,16,1,57,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000952,6,20,9,11,19,26,7,76,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000962,7,20,14,8,29,16,5,57,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000972,8,22,11,9,28,22,13,52,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000982,9,21,11,6,32,24,1,54,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000992,10,28,5,15,18,22,3,68,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001002,11,25,12,9,18,15,6,46,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001012,12,29,13,8,20,31,0,69,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001022,13,25,10,8,11,17,5,65,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001032,14,20,10,8,29,21,3,54,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001042,15,20,11,7,14,19,4,81,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001052,16,25,19,13,14,15,2,57,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001062,17,32,13,5,25,26,1,65,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001072,18,16,17,17,23,33,5,59,
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001082,19,16,8,8,15,10,3,47,
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001612,1,19,7,11,23,26,3,63,
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001622,2,14,10,7,29,21,0,77,
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001632,3,16,7,8,18,25,5,76,
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001642,4,27,7,5,24,22,3,47,
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001652,5,19,11,7,22,26,2,80,
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001662,6,22,6,8,42,19,1,58,
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001672,7,19,10,4,24,12,1,53,
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001682,8,20,9,12,25,13,3,63,
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001692,9,32,12,7,31,17,2,70,
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001702,10,24,9,7,32,22,4,54,
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001712,11,32,5,3,20,24,4,64,
1,Cercado,1,Trinidad,2526,Trinidad,6,U.E. Pedro Ignacio Muiba,8001722,12,22,11,9,23,29,2,59,
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001732,1,22,13,9,34,25,0,80,
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001742,2,18,12,4,36,21,5,71,
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001752,3,32,9,11,23,30,4,64,
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001762,4,22,12,1,25,11,0,81,
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001772,5,17,10,7,27,30,2,67,
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001782,6,30,14,8,18,27,3,77,
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001792,7,21,9,11,28,15,0,74,
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001802,8,32,8,7,22,12,1,74,
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001812,9,22,12,6,18,23,2,80,
1,Cercado,1,Trinidad,2526,Trinidad,7,U.E. San Antonio,8001822,10,20,13,5,14,19,0,49,
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000572,1,13,10,2,26,27,7,85,
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000582,2,19,10,5,21,25,3,74,
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000592,3,19,10,6,24,23,1,85,
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000602,4,24,7,7,30,24,3,73,
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000612,5,16,13,11,29,14,4,73,
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000622,6,20,9,5,35,27,2,76,
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000632,7,17,13,8,30,22,5,85,
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000642,8,19,7,7,22,30,3,82,
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000652,9,23,7,5,22,22,7,82,
1,Cercado,1,Trinidad,2526,Trinidad,8,U.E. Raúl Monje Roca,8000662,10,20,7,7,24,21,5,76,
1,Cercado,1,Trinidad,2526,Trinidad,9,U.E. J. Lorenzo Campero,8002162,1,17,12,2,19,37,1,89,
1,Cercado,1,Trinidad,2526,Trinidad,9,U.E. J. Lorenzo Campero,8002172,2,21,9,4,28,20,2,89,
1,Cercado,1,Trinidad,2526,Trinidad,9,U.E. J. Lorenzo Campero,8002182,3,20,14,4,21,28,2,75,
1,Cercado,1,Trinidad,2526,Trinidad,9,U.E. J. Lorenzo Campero,8002192,4,18,11,6,15,24,3,87,
