CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AIR,PATRIA,NGP,MTS,MATE,T,ISA,APB-SUMATE,SOMOSCHACO,PDC,UNIR
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,3,U.E. Simón Bolívar,6010496,2,10,23,1,25,6,3,24,2,1,4,1
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,13,U.E. Club De Leones (Básico Y Medio),6011286,11,17,37,3,17,4,7,9,2,9,9,0
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,16,U.E. Liceo Gran Chaco,6011346,4,21,33,2,23,3,6,11,4,3,6,3
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,17,U.E. Miguel Estensoro,6011456,7,16,39,3,25,7,6,5,1,6,6,5
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,18,U.E. Nestor Paz Galarza,6011946,11,10,31,3,11,5,5,7,2,9,23,4
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,18,U.E. Nestor Paz Galarza,6011976,14,0,3,0,4,0,0,1,1,5,2,1
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,19,U.E. Yacuiba,6011986,1,24,17,1,8,3,6,7,1,4,14,4
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,19,U.E. Yacuiba,6011996,2,18,18,4,11,6,6,11,1,6,22,4
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,19,U.E. Yacuiba,6012056,8,17,22,0,11,5,9,8,3,1,10,4
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,19,U.E. Yacuiba,6012066,9,20,39,3,9,4,7,8,6,4,10,5
