CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,PATRIA-UNIDOS,A.S.,MNR,NGP,APP,LIBRE,DEMOCRATAS,A-UPP,APB-SUMATE,UN,CAOP,PDC
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002661,18,1,6,7,3,0,2,5,1,2,2,2,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001911,1,0,17,52,2,3,16,5,1,2,2,1,2,0
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001921,2,5,17,50,3,0,25,5,1,3,4,3,2,3
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001931,3,1,18,55,6,0,9,12,0,2,3,5,1,4
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001941,4,2,19,42,4,2,13,9,1,1,5,3,1,2
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001951,5,1,25,53,5,2,13,10,0,1,5,0,2,2
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001961,6,1,31,51,4,2,11,6,1,5,4,2,1,3
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001971,7,2,25,47,3,3,9,13,0,3,5,3,3,6
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001981,8,0,28,45,2,2,9,3,1,2,4,3,1,4
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001991,9,1,13,47,5,1,14,9,4,4,3,1,1,3
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5002001,10,0,24,47,2,0,17,9,2,2,3,1,2,4
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5002011,11,1,26,48,3,1,19,5,2,3,3,1,1,2
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5002021,12,1,23,63,1,1,18,16,0,2,0,2,2,2
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5002031,13,0,27,44,4,2,20,4,2,2,3,1,3,3
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5002041,14,1,25,43,2,1,20,20,0,2,5,1,1,2
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5002051,15,0,15,19,4,1,9,8,1,3,4,0,2,2
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001591,1,0,25,58,5,1,15,4,1,1,6,6,1,4
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001601,2,2,18,49,4,1,6,8,3,2,3,1,0,2
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001611,3,2,30,40,4,3,8,9,3,1,6,2,3,2
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001621,4,1,27,44,3,0,7,6,3,2,1,1,3,1
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001631,5,0,21,45,2,4,6,7,1,1,5,2,1,3
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001641,6,0,17,54,1,4,15,6,1,3,1,4,2,2
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001651,7,3,22,35,2,1,12,9,1,4,1,2,2,2
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001661,8,0,10,48,0,1,9,8,3,1,6,1,5,1
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001671,9,5,11,45,4,2,7,4,1,1,4,2,0,4
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001681,10,2,21,35,1,0,9,7,0,1,2,1,11,3
1,Tomás Frías,1,Potosí,1494,Potosí,27,Coleg. Don Bosco,5002801,1,1,18,25,10,1,33,26,1,0,4,3,3,2
1,Tomás Frías,1,Potosí,1494,Potosí,27,Coleg. Don Bosco,5002811,2,2,25,34,9,0,31,23,1,4,6,7,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,27,Coleg. Don Bosco,5002821,3,2,24,32,13,0,22,28,0,0,6,5,2,2
1,Tomás Frías,1,Potosí,1494,Potosí,27,Coleg. Don Bosco,5002831,4,4,39,38,16,0,19,21,1,2,3,3,1,2
1,Tomás Frías,1,Potosí,1494,Potosí,27,Coleg. Don Bosco,5002841,5,1,15,14,4,3,14,21,2,1,2,6,2,1
1,Tomás Frías,1,Potosí,1494,Potosí,28,Esc. Gregorio Barriga,5002851,1,0,40,26,7,2,26,16,0,2,6,4,1,2
1,Tomás Frías,1,Potosí,1494,Potosí,28,Esc. Gregorio Barriga,5002861,2,0,5,2,2,0,2,4,0,1,0,1,0,0
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005281,1,2,19,37,9,2,21,19,2,4,3,5,4,1
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005291,2,3,27,49,8,1,14,18,1,2,11,3,2,1
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005301,3,2,26,40,3,4,20,17,2,3,2,6,1,0
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005311,4,3,32,39,14,6,15,18,1,3,7,4,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005321,5,4,29,34,5,1,25,10,1,2,5,3,1,2
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005331,6,1,23,46,6,1,19,22,3,1,0,4,3,2
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005341,7,2,22,40,5,2,19,15,5,4,5,4,1,5
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005351,8,1,27,30,14,4,28,17,1,1,7,3,3,0
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005361,9,3,29,39,4,1,22,27,1,5,8,1,2,1
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005371,10,3,15,34,8,3,20,25,0,3,10,4,5,2
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005381,11,1,24,36,6,4,21,19,2,3,7,5,0,2
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005391,12,3,25,58,11,4,33,20,7,1,4,2,1,4
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005401,13,3,19,37,8,6,26,24,3,3,5,5,3,6
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005411,14,3,20,42,10,1,18,17,0,2,7,1,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005421,15,2,25,56,5,2,12,16,5,4,4,4,6,2
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005431,16,0,18,33,12,3,31,17,0,1,7,2,3,4
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005441,17,2,27,45,5,0,26,21,1,4,4,4,1,3
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005451,18,2,21,34,5,4,19,21,0,2,1,3,10,2
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005461,19,3,19,37,11,4,31,20,1,2,9,5,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005471,20,1,36,34,8,7,18,24,3,2,5,4,2,6
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005481,21,3,28,33,8,4,23,21,1,2,3,5,2,3
1,Tomás Frías,1,Potosí,1494,Potosí,30,Unid. Educ. Oscar Alfaro,5001101,1,1,31,32,6,1,18,21,3,1,7,6,2,0
1,Tomás Frías,1,Potosí,1494,Potosí,30,Unid. Educ. Oscar Alfaro,5001111,2,1,27,46,8,1,17,20,0,3,8,5,0,3
1,Tomás Frías,1,Potosí,1494,Potosí,30,Unid. Educ. Oscar Alfaro,5001121,3,3,31,35,11,3,27,30,0,3,2,3,2,2
1,Tomás Frías,1,Potosí,1494,Potosí,30,Unid. Educ. Oscar Alfaro,5001131,4,5,29,31,7,1,29,30,0,5,7,6,2,1
1,Tomás Frías,1,Potosí,1494,Potosí,30,Unid. Educ. Oscar Alfaro,5001141,5,2,31,32,10,2,25,12,3,3,4,3,3,3
1,Tomás Frías,1,Potosí,1494,Potosí,30,Unid. Educ. Oscar Alfaro,5001151,6,3,3,9,0,0,6,1,1,0,2,0,1,0
1,Tomás Frías,1,Potosí,1494,Potosí,31,Esc. Gualberto Villarroel,5003921,1,0,17,50,4,2,15,7,4,1,4,3,4,2
1,Tomás Frías,1,Potosí,1494,Potosí,31,Esc. Gualberto Villarroel,5003931,2,3,21,39,7,2,20,9,2,3,7,1,0,0
1,Tomás Frías,1,Potosí,1494,Potosí,31,Esc. Gualberto Villarroel,5003941,3,2,17,47,3,2,20,3,0,1,2,3,3,2
1,Tomás Frías,1,Potosí,1494,Potosí,31,Esc. Gualberto Villarroel,5003951,4,2,13,56,5,0,15,18,1,1,2,3,0,3
1,Tomás Frías,1,Potosí,1494,Potosí,31,Esc. Gualberto Villarroel,5003961,5,2,18,43,7,2,14,14,1,0,4,7,1,3
1,Tomás Frías,1,Potosí,1494,Potosí,31,Esc. Gualberto Villarroel,5003971,6,4,13,52,3,1,15,6,2,6,6,1,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,31,Esc. Gualberto Villarroel,5003981,7,1,30,35,9,1,7,16,1,4,4,1,2,2
1,Tomás Frías,1,Potosí,1494,Potosí,32,Colegio Franciscano,5003151,1,2,33,33,11,2,26,24,2,1,4,2,3,1
1,Tomás Frías,1,Potosí,1494,Potosí,32,Colegio Franciscano,5003161,2,3,35,48,6,2,19,26,1,4,0,4,5,2
1,Tomás Frías,1,Potosí,1494,Potosí,32,Colegio Franciscano,5003171,3,2,26,34,23,1,19,23,1,1,6,3,2,6
1,Tomás Frías,1,Potosí,1494,Potosí,32,Colegio Franciscano,5003181,4,0,39,28,13,1,23,26,1,0,3,3,2,0
1,Tomás Frías,1,Potosí,1494,Potosí,32,Colegio Franciscano,5003191,5,2,25,36,19,1,19,22,0,0,11,2,2,1
1,Tomás Frías,1,Potosí,1494,Potosí,32,Colegio Franciscano,5003201,6,1,6,4,2,0,4,4,0,0,0,0,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,33,Coleg. Antofagasta,5004041,1,2,20,45,8,1,21,12,2,1,5,5,5,1
1,Tomás Frías,1,Potosí,1494,Potosí,33,Coleg. Antofagasta,5004051,2,2,34,40,4,2,18,16,3,3,1,2,4,2
